A metallic can with a brushed aluminum finish from a three-quarter view, centered on a white background, no shadows or reflections
A can with a hammered copper texture from a three-quarter view, centered on a white background, no shadows or reflections
A can made of wood with carved tribal patterns from a three-quarter view, centered on a white background, no shadows or reflections
A matte black can with geometric engravings from a three-quarter view, centered on a white background, no shadows or reflections
A can wrapped in colorful mosaic tiles from a three-quarter view, centered on a white background, no shadows or reflections
A can with a cork exterior and natural texture from a three-quarter view, centered on a white background, no shadows or reflections
A can featuring a spiral design made of polished bronze from a three-quarter view, centered on a white background, no shadows or reflections
A can shaped like a bamboo stalk made of carved wood from a three-quarter view, centered on a white background, no shadows or reflections
A can with a cracked ceramic glaze finish in blue and white from a three-quarter view, centered on a white background, no shadows or reflections
A metallic can with embossed floral patterns from a three-quarter view, centered on a white background, no shadows or reflections
A can made of woven straw with a textured surface from a three-quarter view, centered on a white background, no shadows or reflections
A can with a faceted diamond shape made of gold-plated metal from a three-quarter view, centered on a white background, no shadows or reflections
A can resembling a tree trunk with bark texture from a three-quarter view, centered on a white background, no shadows or reflections
A can with tribal geometric patterns etched into copper from a three-quarter view, centered on a white background, no shadows or reflections
A can made of ceramic with a dragon wrapped around it in relief from a three-quarter view, centered on a white background, no shadows or reflections
A can with a gradient color ceramic surface from dark blue to light blue from a three-quarter view, centered on a white background, no shadows or reflections
A can with a twisted form made of rustic wood from a three-quarter view, centered on a white background, no shadows or reflections
A can with a checkerboard pattern of black and white ceramic tiles from a three-quarter view, centered on a white background, no shadows or reflections
A can resembling a pyramid made of sandstone from a three-quarter view, centered on a white background, no shadows or reflections
A can with a quilted leather surface in deep brown from a three-quarter view, centered on a white background, no shadows or reflections
A can shaped like a cylinder with diagonal cuts made of stainless steel from a three-quarter view, centered on a white background, no shadows or reflections
A can with a honeycomb texture made of golden metal from a three-quarter view, centered on a white background, no shadows or reflections
A can with geometric cutouts made of polished brass from a three-quarter view, centered on a white background, no shadows or reflections
A can made of rough-hewn stone with ancient carvings from a three-quarter view, centered on a white background, no shadows or reflections
A can with an hourglass shape made of smooth sandstone from a three-quarter view, centered on a white background, no shadows or reflections
A can resembling a musical instrument with carved wood details from a three-quarter view, centered on a white background, no shadows or reflections
A can with a braided pattern made of metallic fibers from a three-quarter view, centered on a white background, no shadows or reflections
A can shaped like a leaf made of textured bronze from a three-quarter view, centered on a white background, no shadows or reflections
A can with a spiral staircase design carved into stone from a three-quarter view, centered on a white background, no shadows or reflections
A can with overlapping leaf designs made of green ceramic from a three-quarter view, centered on a white background, no shadows or reflections
A can made of concrete with an industrial design from a three-quarter view, centered on a white background, no shadows or reflections
A can with a smooth cylindrical form made of matte black ceramic from a three-quarter view, centered on a white background, no shadows or reflections
A can shaped like a seashell made of pearlescent ceramic from a three-quarter view, centered on a white background, no shadows or reflections
A can with a scalloped texture made of bronze from a three-quarter view, centered on a white background, no shadows or reflections
A can resembling a faceted gemstone made of glossy black ceramic from a three-quarter view, centered on a white background, no shadows or reflections
A can with a surface that mimics cracked earth made of clay from a three-quarter view, centered on a white background, no shadows or reflections
A can with a cloud-like shape made of soft matte ceramic from a three-quarter view, centered on a white background, no shadows or reflections
A can with a lattice design made of interwoven metal strips from a three-quarter view, centered on a white background, no shadows or reflections
