A DSLR photo of a single unique centered green lettuce with a crisp texture and a leafy shape, three-quarter view, on a plain white background with no shadow or reflection.
A DSLR photo of a single unique centered light green lettuce with a smooth texture and a round shape, three-quarter view, on a plain white background with no shadow or reflection.
A DSLR photo of a single unique centered dark green lettuce with a tender texture and a ruffled shape, three-quarter view, on a plain white background with no shadow or reflection.
A DSLR photo of a single unique centered reddish green lettuce with a firm texture and a frilly shape, three-quarter view, on a plain white background with no shadow or reflection.
A DSLR photo of a single unique centered yellow-green lettuce with a slightly rough texture and a compact shape, three-quarter view, on a plain white background with no shadow or reflection.
A DSLR photo of a single unique centered purple-tinged lettuce with a moist texture and a elongated leaves shape, three-quarter view, on a plain white background with no shadow or reflection.
A DSLR photo of a single unique centered pale green lettuce with a delicate texture and a loosely packed shape, three-quarter view, on a plain white background with no shadow or reflection.
A DSLR photo of a single unique centered green lettuce with a crisp texture and a tight head shape, three-quarter view, on a plain white background with no shadow or reflection.
A DSLR photo of a single unique centered light green lettuce with a smooth texture and a leafy shape, three-quarter view, on a plain white background with no shadow or reflection.
A DSLR photo of a single unique centered dark green lettuce with a tender texture and a round shape, three-quarter view, on a plain white background with no shadow or reflection.
A DSLR photo of a single unique centered reddish green lettuce with a firm texture and a ruffled shape, three-quarter view, on a plain white background with no shadow or reflection.
A DSLR photo of a single unique centered yellow-green lettuce with a slightly rough texture and a frilly shape, three-quarter view, on a plain white background with no shadow or reflection.
A DSLR photo of a single unique centered purple-tinged lettuce with a moist texture and a compact shape, three-quarter view, on a plain white background with no shadow or reflection.
A DSLR photo of a single unique centered pale green lettuce with a delicate texture and a elongated leaves shape, three-quarter view, on a plain white background with no shadow or reflection.
A DSLR photo of a single unique centered green lettuce with a crisp texture and a loosely packed shape, three-quarter view, on a plain white background with no shadow or reflection.
A DSLR photo of a single unique centered light green lettuce with a smooth texture and a tight head shape, three-quarter view, on a plain white background with no shadow or reflection.
A DSLR photo of a single unique centered dark green lettuce with a tender texture and a leafy shape, three-quarter view, on a plain white background with no shadow or reflection.
